Titulo,Pais,Duracion,Año,Director
Mulán (1998),"United States, China",1hora 28minutos,1998,"Barry Cook,Tony Bancroft"
Mulan II (2004),"United States, South Korea, Singapore, Russia, Malaysia, Kazakhstan, Taiwan, Hong Kong, Japan, China, India, Syria, Iran, Egypt, Pakistan",1hora 19minutos,2004,"Darrell Rooney,Lynne Southerland"
Animales Fantásticos: Los Crímenes De Grindelwald (2018),"United Kingdom, United States",2horas 14minutos,2018,David Yates
Animales fantásticos y dónde encontrarlos (2016),United States,2horas 13minutos,2016,"Anna Worley,David Yates,Josh Robertson,Katharina Hingst"
Un lugar en silencio (2018),United States,1hora 30minutos,2018,"Alina Gatti,Dianne Dreyer,Dustin Bewley,John Krasinski,John R. Saunders"
LEGO Star Wars Cuentos escalofriantes (2021),United States,45minutos,2021,Ken Cunningham
Un lugar Silencio 2 (2021),United States,1hora 37minutos,2021,"Catherine A. Cospelich,David H. Venghaus Jr.,Elyse Archie,Jeff Overfield,John Krasinski,John Sowulski,Luke Crawford,Scott Farrar,Sue Young Kim"
Tenet (2020),"United States, United Kingdom",2horas 30minutos,2020,"Alicia Triana Tabeau,Andrés Barrientos,Christopher Nolan,Doris Tääker,Emeri Abel,Eric Glasser,Eric Richard Lasko,Franco Basaglia,Martin Kildegaard Hem,Nilo Otero,Steve Gehrke,Tõnis Pill,Udayan Baijal"
Rápidos y furiosos 9 (2021),"United States, Thailand, Canada",2horas 25minutos,2021,"Jeremy Moffett,Justin Lin,Sarah Mulberge,Vincent Lascoumes"
"De la nada: ¡Scooby-Doo! Conoce a Coraje, el Perro Cobarde (2021)",United States,1hora 12minutos,2021,"Cecilia Aranovich,"
Doctor Strange (Doctor Extraño) (2016),United States,1hora 55minutos,2016,"Daisy Baldry,Jo Beckett,Joey Coughlin,Michael Lerman,Scott Derrickson,Teresa Orlando"
Nanatsu no Taizai: La maldición de la luz (2021),Japan,1hora 35minutos,2021,"Takayuki Hamana,"
The Comebacks (2007),United States,1hora 47minutos,2007,"Tom Brady,"
Pura energía (1995),United States,1hora 51minutos,1995,"Victor Salva,"
Tut Tut Cory Bólidos: Chrissy al volante (2021),United States,1hora 38minutos,2021,
Triste San Valentín (2010),United States,1hora 52minutos,2010,"Brad Robinson,Derek Cianfrance,Mariela Comitini,Tony Osso"
Tarzán 2 (2005),United States,1hora 12minutos,2005,"Brian Smith,Johan Klingler"
Esperando a los Bárbaros (2019),"Italy, United States",1hora 52minutos,2019,"Ciro Guerra,Mohammed Hamza Regragui"
Ataque a los Zombis (2018),United States,1hora 32minutos,2018,"Lin Oeding,"
Rock Star: La voz del dragón (2001),United States,1hora 45minutos,2001,"Adrienne Hamalian-Mangine,Courtenay Miles,David Kelley,Eric Fox Hays,Jeffrey Wetzel,Stephen Herek,"
Hermosa venganza (2020),"United Kingdom, United States",1hora 54minutos,2020,"Alexander Armero,Anthony Manzo,Emerald Fennell,Michael T. Meador,Renetta G. Amador"
Cazafantasmas (2016),"United States, Australia",1hora 57minutos,2016,"Paul Feig,Rebecca Breckel,Sheila Waldron"
En La Oscuridad (2019),United States,1hora 30minutos,2019,"Padraig Reynolds,"
El expreso polar (2004),United States,1hora 37minutos,2004,"Carlos Pedroza,Corey Hels,Fernando Benítez,Joseph Thomas,Josh McLaglen,Juan Gonzalez,Luca Kouimelis,Maks Naporowski,Rick Kelly,Robert Zemeckis,Steve Starkey"
Un día de furia (1993),"United States, France, United Kingdom",1hora 53minutos,1993,"David Fudge,Dennis Capps,Joel Schumacher,Nancy Hopton,Stephen P. Dunn"
Austin Powers: Misterioso agente internacional (1997),United States,1hora 34minutos,1997,"Amy Schmidt,David Ticotin,Douglas Aarniokoski,Jay Roach,Ronit Ravich-Boss,Violet Cazanjian"
Duro de cuidar (2017),"United States, Hong Kong, Bulgaria, Netherlands, Canada, United Kingdom, France",1hora 58minutos,2017,"Kristina Sakizli,Lizzie Pritchard,Patrick Hughes,,Stefania Velichkova"
Charlie y la Fábrica de Chocolate (2005),"United Kingdom, United States, Australia",1hora 55minutos,2005,"Ben Dixon,Jonny Benson,Katterli Frauenfelder,Nikki Clapp,Tim Burton"
Duro de cuidar 2 (2021),"United States, United Kingdom",1hora 40minutos,2021,"Patrick Hughes,"
La purga por siempre (2021),"United States, Mexico",1hora 43minutos,2021,"Everardo Gout,James Moran,Mike Gunther,Vickie M. Hsieh"
RoboCop (1987),United States,1hora 42minutos,1987,"David B. Householter,Michele Panelli-Venetis,Paul Verhoeven,Paula Squires Asaff"
RoboCop 2 (1990),United States,1hora 57minutos,1990,"Irvin Kershner,"
RoboCop 3 (1993),United States,1hora 44minutos,1993,"Fred Dekker,"
RoboCop (2014),United States,1hora 53minutos,2014,"George Marshall Ruge,Jeff J.J. Authors,José Padilha,Penny Charter,Shane B. Scott"
El cubo (1997),Canada,1hora 30minutos,1997,"Deborah Kiss,Lisa Burling,Oscar Fenoglio,Patricia Joyes,Patrick Tidy,Sarah Jarvis,Vincenzo Natali"
La nueva noche de los muertos vivientes (2021),United States,1hora 10minutos,2021,"Jason Axinn,"
Amigos intocables (2011),France,1hora 52minutos,2011,"Éric Toledano,Nathalie Vierny,Olivier Nakache"
Mortal (2020),"Norway, United States, United Kingdom",1hora 44minutos,2020,"André Øvredal,Ingrid Wiese,Marcia Gay,Samuel Kirby"
Cuestión de tiempo (2013),"United Kingdom, United States",2horas 3minutos,2013,"Richard Curtis,"
Bienvenidos al ayer (2015),United States,1hora 46minutos,2015,"Cheryl Starbuck,Dean Israelite"
Constantine (2005),"United States, Germany",2horas 1minuto,2005,"Darin Rivetti,Francis Lawrence,Josh McLaglen,Maria Battle Campbell,Michael L. Fink,Rick Kelly"
Willy Wonka y la fábrica de chocolate (1971),United Kingdom,1hora 40minutos,1971,"Jack Roe,Mel Stuart,Stefan Zürcher,Wolfgang Glattes"
10 Cosas Que Hacer Antes De Dejarte (2020),United States,1hora 15minutos,2020,"Galt Niederhoffer,"
El Avión Presidencial (1997),"United States, Germany",2horas 4minutos,1997,"David M. Dunlap,Dianne Dreyer,Paula Case,Peter Kohn,Scott Robertson,Wolfgang Petersen"
Cazador de hombres (1986),United States,2horas,1986,"June Randall,Michael Mann"
Dragón rojo (2002),"Germany, United States",2horas 6minutos,2002,"Bac DeLorme,Brett Ratner,James M. Freitag,Jonathan McGarry,Martin Kitrosser"
Bailemos (2019),"France, Belgium",1hora 49minutos,2019,"Ladislas Chollat,"
Antes de la medianoche (2013),"United States, Greece",1hora 49minutos,2013,"Anna Nikolaou,Richard Linklater,Vincent Palmo Jr."
Confinados (2021),"United Kingdom, United States",1hora 58minutos,2021,"Dan Channing-Williams,Doug Liman,Rebecca Sheridan,Sam Barry-Parker"
Cenicienta (2021),"United States, United Kingdom",1hora 53minutos,2021,"Kay Cannon,"
Héroe de dos mundos (2021),China,2horas 10minutos,2021,"Lu Yang,"
Looks That Kill (2021),United States,1hora 32minutos,2021,"Kellen Moore,"
Intrusión (2021),United States,1hora 33minutos,2021,"Adam Salky,"
Un jefe en pañales: De vuelta a los negocios (2017),United States,1hora 29minutos,2003,"Duwayne Dunham,"
Un jefe en pañales 2: Negocios de familia (2021),United States,1hora 47minutos,2021,"Tom McGrath,"
Tom y Jerry (2021),"United States, United Kingdom, France, Germany",1hora 41minutos,2021,"Gayle Dickie,Tim Story,William Dodds"
Luca (2021),United States,1hora 35minutos,2021,"Enrico Casarosa,Kelly Bonbright,Rayna Helgens"
Rompe el paso (2020),Germany,1hora 38minutos,2020,"Stefan Westerwelle,"
La bella y la bestia (1991),United States,1hora 31minutos,1991,"Bill Perkins,Dan St. Pierre,Fred Craig,Gary Trousdale,Kirk Wise,Larry Leker,Lorenzo E. Martinez,Rasoul Azadani,Rick Moore,Tanya T. Wilson,Thom Enriquez,Tom Shannon"
Maldición en el tercer piso (2019),United States,1hora 33minutos,2019,"Anthony E. Cabral,Phil Bogdan,Thomas Lounsbury,Travis Stevens"
Mosul (2019),United States,1hora 26minutos,2019,"Matthew Michael Carnahan,"
John Carter: Entre dos mundos (2012),United States,2horas 12minutos,2012,"Andrew M. Ward,Andrew Stanton,Annie Penn,Ben Dixon,Tommy Gormley"
El Transportador (2002),"France, United States",1hora 32minutos,2002,
La bella y la bestia: Una Navidad encantada (1997),"Canada, United States",1hora 12minutos,1997,"Andrew Knight,"
El Transportador: Recargado (2015),"France, China, Belgium, Monaco",1hora 36minutos,2015,"Aurélia Fourcaut,Camille Delamarre,Cécile Denis,Christel Bordon,Damien Noguer,Felix Baudouin,Lucie Mallet,Morgan Autexier,Stéphane Moreno Carpio"
El Transportador 3 (2008),"France, United States, Ukraine, United Kingdom",1hora 43minutos,2008,
Nomadland (2021),United States,1hora 48minutos,2021,"Chloé Zhao,Mary Kerrigan"
Sospecha mortal (2019),"United Kingdom, United States, Canada",1hora 49minutos,2019,"Andrea Di Stefano,Anissa Bonnefont,Arizona Eastwood,Claire Fowler,Daniel Jerome Gill,Jonathan Midlane,Rebecca Sheridan,Ryan Alan Dearth,Shelley Lankovits"
Lucy (2014),"France, Germany, Taiwan, Canada, United States, United Kingdom",1hora 30minutos,2014,"Isabelle Querrioux,Luc Besson"
Los Aristogatos (1970),United States,1hora 18minutos,1970,"Wolfgang Reitherman,"
La vida en rosa (2007),"France, United Kingdom, Czechia",2horas 20minutos,2007,"Olivier Dahan,Virginie Le Pionnier"
Condena brutal (1989),United States,1hora 55minutos,1989,"David Lux,David Sosna,Frank Capra III,John Flynn,Kathryn Weygand,Nelson Cabrera,Newt Arnold,Stephen A. Glanzrock,Tracy Rosenthal-Newsom"
"¡Oye, Arnold! La película (2002)",United States,1hora 16minutos,2002,"Tuck Tucker,"
Rapidos y Peligrosos 2 (2016),Norway,1hora 38minutos,2016,"Hallvard Bræin,"
Hannibal (2001),"United States, United Kingdom, Italy",2horas 11minutos,2001,"Luca Kouimelis,Ridley Scott"
¡Oye Arnold! Una peli en la jungla (2017),"United States, South Korea, Japan",1hora 21minutos,2017,"Raymie Muzquiz,Stu Livingston"
Amor a colores (1998),United States,2horas 4minutos,1998,"Gary Ross,"
Los locos Addams II (1993),United States,1hora 35minutos,1993,"Barry Sonnenfeld,Burtt Harris,Ian Woolf,Judi Townsend,Mark McGann"
El gran Gatsby (2013),"Australia, United States",2horas 23minutos,2013,"Baz Luhrmann,Betty Fotofili,Christopher Turner,Deborah Antoniou,Eddie Thorne,Emma Jamvold,Greg Tynan,Jennifer Leacey,Samantha Smith McGrady,Scott Lovelock"
Hannibal: El origen del mal (2007),"Czechia, United Kingdom, France, Italy, United States",1hora 57minutos,2007,"Laura Goulding,Peter Webber"
Jason y los Argonautas (1963),"United Kingdom, United States",1hora 44minutos,1963,"Dennis Bertera,Don Chaffey,Phyllis Crocker"
50 a 1 (2014),United States,1hora 50minutos,2014,"Jim Wilson,"
Dos tontos en fuga (2008),United States,1hora 47minutos,2008,"Hayden Schlossberg,Jon Hurwitz"
La Navidad de Harold y Kumar (2011),United States,1hora 36minutos,2011,"Todd Strauss-Schulson,"
Batman vs Superman: El Origen de la Justicia (2016),United States,2horas 31minutos,2016,"Amber Harley,Brandon Lambdin,Bruce Moriarty,Cédric Gentil,Damon Caro,Jason Roberts,Julian Wall,Kimi Webber,Misha Bukowski,Stephen W. Moore,Zack Snyder"
Las vacaciones de Mr. Bean (2007),"United Kingdom, France, Germany, United States",1hora 50minutos,2007,"Armel Gourvennec,Carole Reinhard,James Canal,Rachel Corlet-Soulier,Steve Bendelack"
"Ralph, el demoledor (2012)",United States,1hora 41minutos,2012,"Kelly Feeg,Matsune Suzuki,Merrick Rustia,Rich Moore,Rick Moore,Rob Dressel"
Viuda Negra (2021),United States,2horas 14minutos,2021,"Alexander Yurchikov,Cate Shortland,Glen Caroll,Jamie Christopher,Josh Goodman,Mark Cockren,Philip Banks"
La Liga de la Justicia de Zack Snyder (2021),"United States, United Kingdom",4horas 2minutos,2021,"Ben Howard,Damon Caro,Gabriela Gomez,Kimi Webber,Misha Bukowski,Zack Snyder,Zoé Denis"
Los increíbles (2004),United States,1hora 55minutos,2004,"Brad Bird,Camille Leganza,Derek Williams,Sabine Magdelena Koch"
Los increíbles 2 (2018),United States,1hora 58minutos,2018,
Beyond Skyline (2017),"United States, Canada, Indonesia, United Kingdom, China, Singapore",1hora 45minutos,2017,"Elsa Payen,Jamie Crooks,Kiran Kaur Saini,Liam O'Donnell,Mario Aguja,Ray Farandy Pakpahan"
Dos tórtolos (2020),United States,1hora 26minutos,2020,"Joe Camp III,Michael Showalter,Scott August"
Los mejores enemigos (2019),United States,2horas 13minutos,2019,"Robin Bissell,"
Raya y el último dragón (2021),United States,1hora 54minutos,2021,"Carlos López Estrada,Don Hall,John Ripa,Paul Briggs"
Los Voyeristas (2021),United States,1hora 56minutos,2021,"Michael Mohan,"
Voyagers (2021),"United States, Czechia, Romania, United Kingdom",1hora 48minutos,2021,"Beverly Winston,Neil Burger,Oana Ene,Richard Goodwin"
Cuentos al caer la noche (2021),United States,1hora 43minutos,2021,"David Yarovesky,"
Judas y el mesías negro (2021),United States,2horas 6minutos,2021,"Benita Allen,Eva Z. Cabrera,Frederic Roth,Shaka King"
El Conjuro 3. Expediente Warren: Obligado por el demonio (2021),"United States, United Kingdom",1hora 51minutos,2021,"David Waters,Jeffrey Wetzel,Joann Connolly,Jody Blose,Michael Chaves"
Justicia implacable (2021),"United Kingdom, United States",1hora 59minutos,2021,"Guy Ritchie,"
Especies en Peligro de Extincion (2021),"Kenya, United States",1hora 41minutos,2021,"Brett Hodgkinson,M.J. Bassett,Maureen Conway,Tash Montlake"
El Mauritano (2021),"United Kingdom, United States",2horas 9minutos,2021,"Kevin Macdonald,"
Boogie (2021),United States,1hora 29minutos,2021,"Eddie Huang,"
Pequeños Secretos (2021),United States,2horas 8minutos,2021,"Alejandro Mora,Dawn Gilliam,Donald Sparks,Jason Inman,John Lee Hancock,Stephanie Tull"
Día De La Redención (2021),United States,1hora 40minutos,2021,"Abdelilah Tastfout,Amir Rouani,Bandar Atifi,Daniela Brandano,Hamza El Hachimy,Hicham Hajji,Jalil Lahlou"
Kate (2021),United States,1hora 46minutos,2021,"Cedric Nicolas-Troyan,"
No respires (2016),"United States, Hungary",1hora 28minutos,2016,"Aria Harrison,Fede Alvarez,Helga Rossi"
No Respires 2 (2021),"United States, Serbia",1hora 38minutos,2021,"Rodo Sayagues,"
SAS: El ascenso del cisne negro (2021),"United Kingdom, Hungary, Netherlands, Switzerland",2horas 3minutos,2021,"Magnus Martens,"
"Batman: El Largo Halloween, Parte 2 (2021)",United States,1hora 27minutos,2021,"Chris Palmer,"
Batman: El Largo Halloween Parte 1 (2021),United States,1hora 25minutos,2021,"Chris Palmer,"
Modo Asesino (2020),Netherlands,1hora 40minutos,2020,"Thijs Meuwese,"
Un sueño posible (2009),United States,2horas 10minutos,2009,"Gail Hunter,John Lee Hancock"
South Park: La película (1999),United States,1hora 21minutos,1999,"Margaret Falzon,Robin Kay,Trey Parker"
Últimas noticias en Yuba County (2021),"United Kingdom, United States",1hora 36minutos,2021,Tate Taylor
La vida es bella (1997),Italy,1hora 57minutos,1997,"Gianni Arduini,Roberto Benigni"
Los Suplentes (2000),United States,1hora 58minutos,2000,"Howard Deutch,"
El jardín de las palabras (2013),Japan,46minutos,2013,Makoto Shinkai
El gran pez (2003),United States,2horas 5minutos,2003,"Carlos De La Torre,Janna Stern,Katterli Frauenfelder,Stéphanie Champault,Tim Burton,Vanessa Mujica"
Jungle Cruise (2021),United States,2horas 7minutos,2021,"Jaume Collet-Serra,"
Desaparecido en combate 3 (1988),United States,1hora 41minutos,1988,"Aaron Norris,"
Desaparecido en combate (1984),United States,1hora 41minutos,1984,"Gideon Amir,Joseph Zito,Lee Nowak"
Desaparecido en combate 2 (1985),United States,1hora 40minutos,1985,"Lance Hool,"
Cementerio de Mascotas (1989),United States,1hora 43minutos,1989,"Jesse Long,Joan Cunningham,Mary Lambert,Phillip Christon,Suzanne Haasis"
Cementerio de Mascotas 2 (1992),United States,1hora 40minutos,1992,"Jeffrey Wetzel,Jesse Long,John Wildermuth,Mary Lambert,Nancy Blewer"
Aprendiendo de mí (2007),United States,1hora 30minutos,2007,"Bernie Goldmann,Melisa Wallack"
Apocalypse Now (1979),United States,2horas 27minutos,1979,"Francis Ford Coppola,Jerry Ziesmer,Larry J. Franco,Tony Brandt"
Tres anuncios por un crimen (2017),"United Kingdom, United States",1hora 52minutos,2017,"Jeanette McGrath,Martin McDonagh,Paula Case,Peter Kohn"
La sombra del pasado (2018),"Germany, Italy",3horas 8minutos,2018,"Florian Henckel von Donnersmarck,"
Nuestra guerra de los siete días (2019),Japan,1hora 29minutos,2019,"Yūta Murano,"
Antonia: Una sinfonía (2018),"Netherlands, Belgium",2horas 17minutos,2018,"Maria Peters,"
Aceleración Máxima (2019),United States,1hora 25minutos,2019,"Daniel Zirilli,Deborah Goods,Jude S. Walko,Michael Merino,Sara Dolin"
Lilo & Stitch (2002),United States,1hora 25minutos,2002,"Chris Sanders,Dean DeBlois"
Lilo y Stitch 2 (2005),United States,1hora 8minutos,2005,"Michael LaBash,Tony Leondis"
Lilo y Stitch 3 (2006),United States,1hora 13minutos,2006,"Roberts Gannaway,Tony Craig"
La pelicula de Stitch (2003),United States,1hora,2003,"Roberts Gannaway,Tony Craig"
El gigante de hierro (1999),United States,1hora 26minutos,1999,
El ataque de las arañas (2002),United States,1hora 36minutos,2002,"Ellory Elkayem,Lars P. Winther,Paul Bernard,Robin Anderson"
El estudiante (2010),Mexico,1hora 35minutos,2010,"Roberto Girault,"
Isabelle (2018),"Italy, France",1hora 35minutos,2018,"Mirko Locatelli,"
Marea roja (1995),United States,1hora 56minutos,1995,"Angela C. Tortu,James W. Skotchdopole,John Wildermuth,P.R. Tooke,Tony Scott"
Ben y el dragón (2020),Germany,1hora 40minutos,2020,"Tomer Eshed,"
Finde (2021),Argentina,1hora 26minutos,2021,"Agustina Pont Lezica,Nano Garay Santalo"
28 semanas después (2007),"United Kingdom, Spain",1hora 41minutos,2007,"Juan Carlos Fresnadillo,Marinella Setti,Tamana Bleasdale,Toby Ford"
28 días después (2002),United Kingdom,1hora 53minutos,2002,"Danny Boyle,Eve Spence,Sara Desmond"
Milagros del cielo (2016),United States,1hora 49minutos,2016,"Alexa Alden,Benita Allen,Frederic Roth,Katye Kalivoda,Patricia Riggen"
After: En mil pedazos (2020),United States,1hora 45minutos,2020,"Chad Rosen,Chris Wright Jr.,Roger Kumble,Tony Niknejadi"
Presas de caza (2021),Germany,1hora 26minutos,2021,"Thomas Sieben,"
El exorcismo de Carmen Farías (2021),Mexico,1hora 33minutos,2021,"Rodrigo Fiallega,"
El robo del siglo (2020),"Argentina, United States",1hora 54minutos,2020,"Ariel Winograd,"
El cuartito (2021),Puerto Rico,1hora 34minutos,2021,Marcos Carnevale
